FullDate,DateKey,Day,Month,Quarter,Year
2014-03-07,431,7,3,1,2014
2014-03-08,432,8,3,1,2014
2014-03-09,433,9,3,1,2014
2014-03-10,434,10,3,1,2014
2014-03-11,435,11,3,1,2014
2014-03-12,436,12,3,1,2014
2014-03-13,437,13,3,1,2014
2014-03-14,438,14,3,1,2014
2014-03-15,439,15,3,1,2014
2014-03-16,440,16,3,1,2014
2014-03-17,441,17,3,1,2014
2014-03-18,442,18,3,1,2014
2014-03-19,443,19,3,1,2014
2014-03-20,444,20,3,1,2014
2014-03-21,445,21,3,1,2014
2014-03-22,446,22,3,1,2014
2014-03-23,447,23,3,1,2014
2014-03-24,448,24,3,1,2014
2014-03-25,449,25,3,1,2014
2014-03-26,450,26,3,1,2014
2014-03-27,451,27,3,1,2014
2014-03-28,452,28,3,1,2014
2014-03-29,453,29,3,1,2014
2014-03-30,454,30,3,1,2014
2014-03-31,455,31,3,1,2014
2014-04-01,456,1,4,2,2014
2014-04-02,457,2,4,2,2014
2014-04-03,458,3,4,2,2014
2014-04-04,459,4,4,2,2014
2014-04-05,460,5,4,2,2014
2014-04-06,461,6,4,2,2014
2014-04-07,462,7,4,2,2014
2014-04-08,463,8,4,2,2014
2014-04-09,464,9,4,2,2014
2014-04-10,465,10,4,2,2014
2014-04-11,466,11,4,2,2014
2014-04-12,467,12,4,2,2014
2014-04-13,468,13,4,2,2014
2014-04-14,469,14,4,2,2014
2014-04-15,470,15,4,2,2014
2014-04-16,471,16,4,2,2014
2014-04-17,472,17,4,2,2014
2014-04-18,473,18,4,2,2014
2014-04-19,474,19,4,2,2014
2014-04-20,475,20,4,2,2014
2014-04-21,476,21,4,2,2014
2014-04-22,477,22,4,2,2014
2014-04-23,478,23,4,2,2014
2014-04-24,479,24,4,2,2014
2014-04-25,480,25,4,2,2014
2014-04-26,481,26,4,2,2014
2014-04-27,482,27,4,2,2014
2014-04-28,483,28,4,2,2014
2014-04-29,484,29,4,2,2014
2014-04-30,485,30,4,2,2014
2014-05-01,486,1,5,2,2014
2014-05-02,487,2,5,2,2014
2014-05-03,488,3,5,2,2014
2014-05-04,489,4,5,2,2014
2014-05-05,490,5,5,2,2014
2014-05-06,491,6,5,2,2014
2014-05-07,492,7,5,2,2014
2014-05-08,493,8,5,2,2014
2014-05-09,494,9,5,2,2014
2014-05-10,495,10,5,2,2014
2014-05-11,496,11,5,2,2014
2014-05-12,497,12,5,2,2014
2014-05-13,498,13,5,2,2014
2014-05-14,499,14,5,2,2014
2014-05-15,500,15,5,2,2014
2014-05-16,501,16,5,2,2014
2014-05-17,502,17,5,2,2014
2014-05-18,503,18,5,2,2014
2014-05-19,504,19,5,2,2014
2014-05-20,505,20,5,2,2014
2014-05-21,506,21,5,2,2014
2014-05-22,507,22,5,2,2014
2014-05-23,508,23,5,2,2014
2014-05-24,509,24,5,2,2014
2014-05-25,510,25,5,2,2014
2014-05-26,511,26,5,2,2014
2014-05-27,512,27,5,2,2014
2014-05-28,513,28,5,2,2014
2014-05-29,514,29,5,2,2014
2014-05-30,515,30,5,2,2014
2014-05-31,516,31,5,2,2014
2014-06-01,517,1,6,2,2014
2014-06-02,518,2,6,2,2014
2014-06-03,519,3,6,2,2014
2014-06-04,520,4,6,2,2014
2014-06-05,521,5,6,2,2014
2014-06-06,522,6,6,2,2014
2014-06-07,523,7,6,2,2014
2014-06-08,524,8,6,2,2014
2014-06-09,525,9,6,2,2014
2014-06-10,526,10,6,2,2014
2014-06-11,527,11,6,2,2014
2014-06-12,528,12,6,2,2014
2014-06-13,529,13,6,2,2014
2014-06-14,530,14,6,2,2014
2014-06-15,531,15,6,2,2014
2014-06-16,532,16,6,2,2014
2014-06-17,533,17,6,2,2014
2014-06-18,534,18,6,2,2014
2014-06-19,535,19,6,2,2014
2014-06-20,536,20,6,2,2014
2014-06-21,537,21,6,2,2014
2014-06-22,538,22,6,2,2014
2014-06-23,539,23,6,2,2014
2014-06-24,540,24,6,2,2014
2014-06-25,541,25,6,2,2014
2014-06-26,542,26,6,2,2014
2014-06-27,543,27,6,2,2014
2014-06-28,544,28,6,2,2014
2014-06-29,545,29,6,2,2014
2014-06-30,546,30,6,2,2014
2014-07-01,547,1,7,3,2014
2014-07-02,548,2,7,3,2014
2014-07-03,549,3,7,3,2014
2014-07-04,550,4,7,3,2014
2014-07-05,551,5,7,3,2014
2014-07-06,552,6,7,3,2014
2014-07-07,553,7,7,3,2014
2014-07-08,554,8,7,3,2014
2014-07-09,555,9,7,3,2014
2014-07-10,556,10,7,3,2014
2014-07-11,557,11,7,3,2014
2014-07-12,558,12,7,3,2014
2014-07-13,559,13,7,3,2014
2014-07-14,560,14,7,3,2014
2014-07-15,561,15,7,3,2014
2014-07-16,562,16,7,3,2014
2014-07-17,563,17,7,3,2014
2014-07-18,564,18,7,3,2014
2014-07-19,565,19,7,3,2014
2014-07-20,566,20,7,3,2014
2014-07-21,567,21,7,3,2014
2014-07-22,568,22,7,3,2014
2014-07-23,569,23,7,3,2014
2014-07-24,570,24,7,3,2014
2014-07-25,571,25,7,3,2014
2014-07-26,572,26,7,3,2014
2014-07-27,573,27,7,3,2014
2014-07-28,574,28,7,3,2014
2014-07-29,575,29,7,3,2014
2014-07-30,576,30,7,3,2014
2014-07-31,577,31,7,3,2014
2014-08-01,578,1,8,3,2014
2014-08-02,579,2,8,3,2014
2014-08-03,580,3,8,3,2014
2014-08-04,581,4,8,3,2014
2014-08-05,582,5,8,3,2014
2014-08-06,583,6,8,3,2014
2014-08-07,584,7,8,3,2014
2014-08-08,585,8,8,3,2014
2014-08-09,586,9,8,3,2014
2014-08-10,587,10,8,3,2014
2014-08-11,588,11,8,3,2014
2014-08-12,589,12,8,3,2014
2014-08-13,590,13,8,3,2014
2014-08-14,591,14,8,3,2014
2014-08-15,592,15,8,3,2014
2014-08-16,593,16,8,3,2014
2014-08-17,594,17,8,3,2014
2014-08-18,595,18,8,3,2014
2014-08-19,596,19,8,3,2014
2014-08-20,597,20,8,3,2014
2014-08-21,598,21,8,3,2014
2014-08-22,599,22,8,3,2014
2014-08-23,600,23,8,3,2014
2014-08-24,601,24,8,3,2014
2014-08-25,602,25,8,3,2014
2014-08-26,603,26,8,3,2014
2014-08-27,604,27,8,3,2014
2014-08-28,605,28,8,3,2014
2014-08-29,606,29,8,3,2014
2014-08-30,607,30,8,3,2014
2014-08-31,608,31,8,3,2014
2014-09-01,609,1,9,3,2014
2014-09-02,610,2,9,3,2014
2014-09-03,611,3,9,3,2014
2014-09-04,612,4,9,3,2014
2014-09-05,613,5,9,3,2014
2014-09-06,614,6,9,3,2014
